a,b,h,l,S11
14,12.2,4,25.5,-44.78892652
14,12.2,4,26,-31.32266618
12,12.4,4,23,-28.12978072
12,12.4,4,23.5,-24.85229266
12,12.4,4,24,-37.02716154
12,12.4,4,24.5,-34.42588612
12,12.4,4,25,-29.94317131
12,12.4,4,25.5,-34.58223518
12,12.4,4,26,-54.09439161
12.2,12.4,4,23,-33.62030353
12.2,12.4,4,23.5,-25.62821091
12.2,12.4,4,24,-32.99570393
12.2,12.4,4,24.5,-43.75697979
12.2,12.4,4,25,-35.82463918
12.2,12.4,4,25.5,-29.9274081
12.2,12.4,4,26,-36.30570924
12.4,12.4,4,23,-30.69760433
12.4,12.4,4,23.5,-31.91900513
12.4,12.4,4,24,-28.0674191
12.4,12.4,4,24.5,-34.11772385
12.4,12.4,4,25,-35.82911442
12.4,12.4,4,25.5,-37.19526737
12.4,12.4,4,26,-31.1639597
12.6,12.4,4,23,-41.66204622
12.6,12.4,4,23.5,-21.23514765
12.6,12.4,4,24,-44.62516027
12.6,12.4,4,24.5,-36.17212634
12.6,12.4,4,25,-31.87778235
12.6,12.4,4,25.5,-33.86182139
12.6,12.4,4,26,-31.44833401
12.8,12.4,4,23,-43.88278967
12.8,12.4,4,23.5,-53.59168526
12.8,12.4,4,24,-46.17753885
12.8,12.4,4,24.5,-42.14528512
12.8,12.4,4,25,-32.28920223
12.8,12.4,4,25.5,-31.94966403
12.8,12.4,4,26,-34.26856526
13,12.4,4,23,-36.14741651
13,12.4,4,23.5,-29.18320591
13,12.4,4,24,-37.35397616
13,12.4,4,24.5,-33.26773618
13,12.4,4,25,-46.14507297
13,12.4,4,25.5,-37.9157689
13,12.4,4,26,-40.18397464
13.2,12.4,4,23,-42.99360428
13.2,12.4,4,23.5,-41.56648229
13.2,12.4,4,24,-28.49774254
13.2,12.4,4,24.5,-47.60080398
13.2,12.4,4,25,-36.78518945
13.2,12.4,4,25.5,-55.17230672
13.2,12.4,4,26,-32.72662296
13.4,12.4,4,23,-34.91013745
13.4,12.4,4,23.5,-27.59748954
13.4,12.4,4,24,-38.85690271
13.4,12.4,4,24.5,-50.15580765
13.4,12.4,4,25,-40.77948298
13.4,12.4,4,25.5,-40.5482368
13.4,12.4,4,26,-31.03526967
13.6,12.4,4,23,-30.92715836
13.6,12.4,4,23.5,-25.76497099
13.6,12.4,4,24,-31.89928592
13.6,12.4,4,24.5,-37.41584569
13.6,12.4,4,25,-62.84119136
13.6,12.4,4,25.5,-47.78754714
13.6,12.4,4,26,-40.06865874
13.8,12.4,4,23,-29.97215155
13.8,12.4,4,23.5,-28.34326042
13.8,12.4,4,24,-31.78039597
13.8,12.4,4,24.5,-35.64682801
13.8,12.4,4,25,-29.96482588
13.8,12.4,4,25.5,-32.75412238
13.8,12.4,4,26,-34.43957245
14,12.4,4,23,-21.96063356
14,12.4,4,23.5,-24.80585834
14,12.4,4,24,-41.56899587
14,12.4,4,24.5,-35.64436759
14,12.4,4,25,-37.45114264
14,12.4,4,25.5,-37.64964592
14,12.4,4,26,-43.67427849
12,12.6,4,23,-29.95871825
12,12.6,4,23.5,-27.40864102
12,12.6,4,24,-28.17568789
12,12.6,4,24.5,-37.36166281
12,12.6,4,25,-31.82085914
12,12.6,4,25.5,-39.11367694
12,12.6,4,26,-34.42242226
12.2,12.6,4,23,-30.31367564
12.2,12.6,4,23.5,-20.1473246
12.2,12.6,4,24,-40.68014337
12.2,12.6,4,24.5,-33.88804659
12.2,12.6,4,25,-29.62514407
12.2,12.6,4,25.5,-12.20450426
12.2,12.6,4,26,-36.09544336
12.4,12.6,4,23,-21.04327059
12.4,12.6,4,23.5,-25.44437329
12.4,12.6,4,24,-35.89801024
12.4,12.6,4,24.5,-39.22346186
12.4,12.6,4,25,-31.33105967
12.4,12.6,4,25.5,-34.83048324
12.4,12.6,4,26,-33.63076933
12.6,12.6,4,23,-58.25162083
12.6,12.6,4,23.5,-36.04083322
12.6,12.6,4,24,-34.3778876
12.6,12.6,4,24.5,-35.87868349
12.6,12.6,4,25,-41.35041275
12.6,12.6,4,25.5,-33.93311623
12.6,12.6,4,26,-33.11941953
12.8,12.6,4,23,-38.81328809
12.8,12.6,4,23.5,-36.26323303
12.8,12.6,4,24,-37.2095078
12.8,12.6,4,24.5,-60.23031045
12.8,12.6,4,25,-44.5340847
