d,H,k,p,S11
3,19,5,14,-24.43656399
4,19,5,14,-42.97072629
5,19,5,14,-54.56390287
6,19,5,14,-35.67479612
7,19,5,14,-19.25808537
8,19,5,14,-27.46904631
3,20,5,14,-29.28101366
4,20,5,14,-34.47498183
5,20,5,14,-30.06053915
6,20,5,14,-24.52341482
7,20,5,14,-28.93170317
8,20,5,14,-21.90313115
3,21,5,14,-27.69885868
4,21,5,14,-25.63047105
5,21,5,14,-20.90523995
6,21,5,14,-23.9869973
7,21,5,14,-26.63109199
8,21,5,14,-26.08047301
3,22,5,14,-30.16783222
4,22,5,14,-41.29888093
5,22,5,14,-44.03589204
6,22,5,14,-42.01449033
7,22,5,14,-28.12861682
8,22,5,14,-33.56922817
3,23,5,14,-30.7309036
4,23,5,14,-29.26307218
5,23,5,14,-26.36943184
6,23,5,14,-24.43475886
7,23,5,14,-24.71797568
8,23,5,14,-22.35149225
3,24,5,14,-23.99917565
4,24,5,14,-21.93174779
5,24,5,14,-20.52093267
6,24,5,14,-19.74121631
7,24,5,14,-19.13328767
8,24,5,14,-18.35347232
3,18,5,14.5,-17.07090942
4,18,5,14.5,-18.91432641
5,18,5,14.5,-18.6559052
6,18,5,14.5,-17.18771757
7,18,5,14.5,-15.9233908
8,18,5,14.5,-15.61287359
3,19,5,14.5,-32.87719603
4,19,5,14.5,-45.66117779
5,19,5,14.5,-45.78053892
6,19,5,14.5,-24.00753101
7,19,5,14.5,-26.09330622
8,19,5,14.5,-22.99735101
3,20,5,14.5,-26.04635761
4,20,5,14.5,-25.60413919
5,20,5,14.5,-24.65814891
6,20,5,14.5,-31.38902844
7,20,5,14.5,-22.20827965
8,20,5,14.5,-46.58231656
3,21,5,14.5,-27.63787876
4,21,5,14.5,-30.22681012
5,21,5,14.5,-26.95064465
6,21,5,14.5,-30.33937477
7,21,5,14.5,-24.53286686
8,21,5,14.5,-19.83833565
3,22,5,14.5,-32.25023799
4,22,5,14.5,-22.93648072
5,22,5,14.5,-22.52361195
6,22,5,14.5,-24.14264222
7,22,5,14.5,-24.80657896
8,22,5,14.5,-24.40917414
3,23,5,14.5,-28.28113887
4,23,5,14.5,-30.29004491
5,23,5,14.5,-39.40309202
6,23,5,14.5,-45.32554571
7,23,5,14.5,-44.05921327
8,23,5,14.5,-37.78907285
3,24,5,14.5,-52.51258131
4,24,5,14.5,-34.26421753
5,24,5,14.5,-25.01580734
6,24,5,14.5,-26.96307839
7,24,5,14.5,-24.3796472
8,24,5,14.5,-23.19061839
3,18,5,15,-11.50545037
4,18,5,15,-13.04788942
5,18,5,15,-13.12623007
6,18,5,15,-13.29593952
7,18,5,15,-12.7526184
8,18,5,15,-12.7803306
3,19,5,15,-25.04118336
4,19,5,15,-26.88799938
5,19,5,15,-25.32558683
6,19,5,15,-20.78689375
7,19,5,15,-20.26212445
8,19,5,15,-19.12383233
3,20,5,15,-27.76550052
4,20,5,15,-41.41383298
5,20,5,15,-42.92356489
6,20,5,15,-40.60176783
7,20,5,15,-50.40590155
8,20,5,15,-24.24619871
3,21,5,15,-34.41701028
4,21,5,15,-47.03837016
5,21,5,15,-25.86823569
6,21,5,15,-29.77394856
7,21,5,15,-40.44575517
8,21,5,15,-33.16730071
3,22,5,15,-23.0649924
4,22,5,15,-25.44536179
5,22,5,15,-24.23895277
6,22,5,15,-34.33122263
7,22,5,15,-21.63952893
8,22,5,15,-26.00011876
3,23,5,15,-27.24672771
4,23,5,15,-21.41651776
5,23,5,15,-22.66473294
6,23,5,15,-23.6918442
7,23,5,15,-25.71891296
8,23,5,15,-32.13583199
3,24,5,15,-25.19357683
4,24,5,15,-28.6800848
5,24,5,15,-36.59296057
6,24,5,15,-54.56841932
7,24,5,15,-47.29367696
8,24,5,15,-38.81310583
3,18,5.1,12,-12.77475586
4,18,5.1,12,-14.01523717
5,18,5.1,12,-14.23978432
6,18,5.1,12,-14.51795139
7,18,5.1,12,-14.72624263
8,18,5.1,12,-14.69342855
3,19,5.1,12,-17.13109296
4,19,5.1,12,-17.69245167
5,19,5.1,12,-18.41468005
6,19,5.1,12,-19.70321005
7,19,5.1,12,-18.09273524
8,19,5.1,12,-18.57354429
3,20,5.1,12,-20.68647815
4,20,5.1,12,-22.44312238
5,20,5.1,12,-23.01767348
6,20,5.1,12,-23.61979833
7,20,5.1,12,-23.14455454
8,20,5.1,12,-24.26661211
3,21,5.1,12,-25.44435423
4,21,5.1,12,-26.10916801
5,21,5.1,12,-28.24029032
6,21,5.1,12,-27.92661757
7,21,5.1,12,-29.26895034
8,21,5.1,12,-30.66976776
3,22,5.1,12,-30.21272009
4,22,5.1,12,-31.5302985
5,22,5.1,12,-30.42399974
6,22,5.1,12,-33.55871607
7,22,5.1,12,-35.4831895
8,22,5.1,12,-34.11414412
3,23,5.1,12,-29.94470693
4,23,5.1,12,-32.22172126
5,23,5.1,12,-30.81295395
6,23,5.1,12,-31.19786634
7,23,5.1,12,-38.01630774
8,23,5.1,12,-36.25921677
3,24,5.1,12,-30.38635539
4,24,5.1,12,-32.74194046
5,24,5.1,12,-26.15693435
6,24,5.1,12,-33.98921001
7,24,5.1,12,-37.2264382
8,24,5.1,12,-34.63857742
3,18,5.1,12.5,-9.735734036
4,18,5.1,12.5,-10.28965692
5,18,5.1,12.5,-10.51398441
6,18,5.1,12.5,-10.92432227
7,18,5.1,12.5,-10.86234081
8,18,5.1,12.5,-11.15386049
3,19,5.1,12.5,-12.62528428
4,19,5.1,12.5,-13.54736026
5,19,5.1,12.5,-13.56965492
6,19,5.1,12.5,-13.94484004
7,19,5.1,12.5,-14.24329651
8,19,5.1,12.5,-14.26295418
3,20,5.1,12.5,-15.80593824
4,20,5.1,12.5,-17.31537077
5,20,5.1,12.5,-17.59761962
6,20,5.1,12.5,-18.51738066
7,20,5.1,12.5,-18.21946624
8,20,5.1,12.5,-18.35270304
3,21,5.1,12.5,-19.42434284
4,21,5.1,12.5,-20.80493609
5,21,5.1,12.5,-21.62940879
6,21,5.1,12.5,-22.21392728
7,21,5.1,12.5,-22.23829998
8,21,5.1,12.5,-22.89115395
3,22,5.1,12.5,-22.07742054
4,22,5.1,12.5,-24.10799809
5,22,5.1,12.5,-25.37498732
6,22,5.1,12.5,-26.12287005
7,22,5.1,12.5,-26.96348288
8,22,5.1,12.5,-27.11169019
3,23,5.1,12.5,-24.7309006
4,23,5.1,12.5,-26.21433845
5,23,5.1,12.5,-27.79824269
6,23,5.1,12.5,-29.07243707
7,23,5.1,12.5,-29.45837759
8,23,5.1,12.5,-29.61794766
3,24,5.1,12.5,-25.3450245
4,24,5.1,12.5,-27.41819492
5,24,5.1,12.5,-29.30649491
6,24,5.1,12.5,-30.18770982
7,24,5.1,12.5,-31.28513771
8,24,5.1,12.5,-33.76449305
3,18,5.1,13,-6.649483532
4,18,5.1,13,-7.174567163
5,18,5.1,13,-7.528431731
6,18,5.1,13,-7.66637758
7,18,5.1,13,-7.766873743
8,18,5.1,13,-7.797458593
3,19,5.1,13,-9.070371806
4,19,5.1,13,-9.633779679
5,19,5.1,13,-9.877539339
6,19,5.1,13,-10.26549975
7,19,5.1,13,-10.50640196
8,19,5.1,13,-10.46991721
3,20,5.1,13,-11.80814056
4,20,5.1,13,-12.31852272
5,20,5.1,13,-12.82732745
6,20,5.1,13,-13.13753069
7,20,5.1,13,-13.505229
8,20,5.1,13,-13.47380668
3,21,5.1,13,-14.73401291
4,21,5.1,13,-15.35139267
5,21,5.1,13,-16.44043566
6,21,5.1,13,-16.30910522
7,21,5.1,13,-17.10866174
8,21,5.1,13,-16.85286785
3,22,5.1,13,-16.85748701
4,22,5.1,13,-17.91461252
5,22,5.1,13,-19.07104407
6,22,5.1,13,-19.32036345
7,22,5.1,13,-20.20868693
8,22,5.1,13,-20.40477672
3,23,5.1,13,-18.87454613
4,23,5.1,13,-20.55448933
5,23,5.1,13,-21.35575597
6,23,5.1,13,-21.87778481
7,23,5.1,13,-23.08782962
8,23,5.1,13,-23.80883329
3,24,5.1,13,-20.28380708
4,24,5.1,13,-22.05575882
5,24,5.1,13,-23.75765251
6,24,5.1,13,-24.70465682
7,24,5.1,13,-26.20877696
8,24,5.1,13,-26.98900252
3,18,5.1,13.5,-24.54050827
4,18,5.1,13.5,-23.59757817
5,18,5.1,13.5,-23.26191117
6,18,5.1,13.5,-23.8431276
7,18,5.1,13.5,-23.70757161
8,18,5.1,13.5,-17.80430318
3,19,5.1,13.5,-31.79860599
4,19,5.1,13.5,-26.88746376
5,19,5.1,13.5,-26.15856472
6,19,5.1,13.5,-27.4592593
7,19,5.1,13.5,-27.61461515
8,19,5.1,13.5,-23.86819882
3,20,5.1,13.5,-28.95386619
4,20,5.1,13.5,-28.21481171
5,20,5.1,13.5,-24.47292018
6,20,5.1,13.5,-22.35126871
7,20,5.1,13.5,-19.65635565
8,20,5.1,13.5,-21.96188439
3,21,5.1,13.5,-29.59364335
4,21,5.1,13.5,-39.29916608
5,21,5.1,13.5,-33.71973657
6,21,5.1,13.5,-47.33861374
7,21,5.1,13.5,-41.323179
8,21,5.1,13.5,-38.45300145
3,22,5.1,13.5,-30.49035927
4,22,5.1,13.5,-25.69851572
5,22,5.1,13.5,-23.67684539
6,22,5.1,13.5,-23.52453869
7,22,5.1,13.5,-22.21791297
8,22,5.1,13.5,-22.43509923
3,23,5.1,13.5,-24.36349795
4,23,5.1,13.5,-21.62415348
5,23,5.1,13.5,-20.56053852
6,23,5.1,13.5,-18.84984751
7,23,5.1,13.5,-18.81015184
8,23,5.1,13.5,-17.75092013
3,24,5.1,13.5,-20.05332117
4,24,5.1,13.5,-18.53843013
5,24,5.1,13.5,-17.41428542
6,24,5.1,13.5,-16.2689406
7,24,5.1,13.5,-16.75518118
8,24,5.1,13.5,-15.93396776
3,18,5.1,14,-25.18369718
4,18,5.1,14,-22.98697651
5,18,5.1,14,-22.25224246
6,18,5.1,14,-21.71765615
7,18,5.1,14,-19.22003289
8,18,5.1,14,-19.38169524
3,19,5.1,14,-63.46789491
4,19,5.1,14,-34.94506846
5,19,5.1,14,-48.94391528
6,19,5.1,14,-26.06029729
7,19,5.1,14,-29.37090085
8,19,5.1,14,-28.14598052
3,20,5.1,14,-37.18186397
4,20,5.1,14,-27.35606445
5,20,5.1,14,-31.39123019
6,20,5.1,14,-31.24186592
7,20,5.1,14,-23.8865885
8,20,5.1,14,-16.44977825
3,21,5.1,14,-25.00245607
4,21,5.1,14,-27.85881331
